"Date","Price","Open","High","Low","Vol.","Change %"
"20-02-2025","265.75","262.75","266.45","261.30","15.31M","1.03%"
"19-02-2025","263.05","262.50","268.50","262.30","14.60M","-1.46%"
"18-02-2025","266.95","263.85","267.90","260.20","10.48M","1.42%"
"17-02-2025","263.20","256.90","264.00","252.20","8.33M","2.27%"
"14-02-2025","257.35","260.40","261.50","254.75","11.34M","-0.69%"
"13-02-2025","259.15","257.25","261.35","256.10","12.26M","0.82%"
"12-02-2025","257.05","259.50","262.10","254.00","17.86M","-1.68%"
"11-02-2025","261.45","268.70","268.80","260.00","22.08M","-2.70%"
"10-02-2025","268.70","275.00","276.00","268.10","16.71M","-3.40%"
"07-02-2025","278.15","273.10","281.90","270.00","17.19M","-1.07%"
"06-02-2025","281.15","287.50","290.95","279.75","21.42M","-1.42%"
"05-02-2025","285.20","285.60","290.75","284.55","15.34M","-0.16%"
"04-02-2025","285.65","281.00","286.40","272.10","19.84M","0.65%"
"03-02-2025","283.80","290.00","292.00","278.00","14.98M","-2.09%"
"01-02-2025","289.85","301.65","305.35","288.65","6.95M","-3.91%"
"31-01-2025","301.65","297.00","303.45","295.90","14.14M","2.13%"
"30-01-2025","295.35","287.85","297.10","287.85","10.97M","2.61%"
"29-01-2025","287.85","285.35","289.15","283.30","4.80M","1.37%"
"28-01-2025","283.95","287.15","288.80","279.35","11.30M","-1.06%"
"27-01-2025","287.00","295.00","295.00","283.75","13.48M","-2.99%"
"24-01-2025","295.85","295.30","302.50","294.35","11.14M","0.51%"
"23-01-2025","294.35","297.50","299.60","293.60","12.23M","-1.08%"
"22-01-2025","297.55","302.00","302.30","295.80","9.72M","-1.59%"
"21-01-2025","302.35","307.00","309.95","301.50","13.91M","-1.27%"
"20-01-2025","306.25","302.60","308.80","301.95","9.44M","1.21%"
"17-01-2025","302.60","297.65","305.00","295.70","7.59M","1.66%"
"16-01-2025","297.65","299.00","301.60","296.60","11.69M","-0.33%"
"15-01-2025","298.65","295.00","302.50","291.10","12.20M","2.89%"
